rank,brand_id,tier,category,gmv_cop_millions_12m,n_unique_clients_12m,gmv_90d_to_12m_ratio,days_since_last_orig,recency_score,fit_score,momentum_score,category_bonus,final_score,why,routing
1,Brand_0002,A,Tecnología,134431,84892,,1,,,,,,"Top 15 GMV puro: COP 134,431 MM",KAM/Hunter Sr
2,Brand_0004,A,Moda,94270,146577,,0,,,,,,"Top 15 GMV puro: COP 94,270 MM",KAM/Hunter Sr
3,Brand_0005,A,Moda,79572,142077,,0,,,,,,"Top 15 GMV puro: COP 79,572 MM",KAM/Hunter Sr
4,Brand_0008,A,Moda,72807,217144,,0,,,,,,"Top 15 GMV puro: COP 72,807 MM",KAM/Hunter Sr
5,Brand_0011,A,Moda,57769,154336,,0,,,,,,"Top 15 GMV puro: COP 57,769 MM",KAM/Hunter Sr
6,Brand_0012,A,Telecomunicaciones,52822,34433,,1,,,,,,"Top 15 GMV puro: COP 52,822 MM",KAM/Hunter Sr
7,Brand_0016,A,Hogar,37123,24982,,1,,,,,,"Top 15 GMV puro: COP 37,123 MM",KAM/Hunter Sr
8,Brand_0019,A,Hogar,36178,27916,,1,,,,,,"Top 15 GMV puro: COP 36,178 MM",KAM/Hunter Sr
9,Brand_0020,A,Moda,34528,89203,,0,,,,,,"Top 15 GMV puro: COP 34,528 MM",KAM/Hunter Sr
10,Brand_0022,A,Vehículos y autopartes,29019,7291,,3,,,,,,"Top 15 GMV puro: COP 29,019 MM",KAM/Hunter Sr
11,Brand_0025,A,Vehículos y autopartes,24660,5792,,2,,,,,,"Top 15 GMV puro: COP 24,660 MM",KAM/Hunter Sr
12,Brand_0026,A,Tecnología,23993,12978,,1,,,,,,"Top 15 GMV puro: COP 23,993 MM",KAM/Hunter Sr
13,Brand_0028,A,Vehículos y autopartes,22936,41623,,0,,,,,,"Top 15 GMV puro: COP 22,936 MM",KAM/Hunter Sr
14,Brand_0031,A,Hogar,20396,13031,,1,,,,,,"Top 15 GMV puro: COP 20,396 MM",KAM/Hunter Sr
15,Brand_0035,A,Tecnología,18963,36343,,1,,,,,,"Top 15 GMV puro: COP 18,963 MM",KAM/Hunter Sr
16,Brand_0145,B,Hogar,4908,7036,3.25,1,96.7,89.7,100.0,10.0,89.2,"Score 89/100: COP 4,908 MM, crecimiento 325%, Hogar BPI 11.8%",Motion/SDR
17,Brand_0826,B,Hogar,775,2638,1.74,1,96.7,90.6,86.8,10.0,86.4,"Score 86/100: COP 775 MM, crecimiento 174%, Hogar BPI 11.8%",Motion/SDR
18,Brand_0755,B,Moda,847,2881,1.71,1,96.7,90.5,85.4,10.0,85.9,"Score 86/100: COP 847 MM, crecimiento 171%, Moda BPI 9.2%",Motion/SDR
